Company Name,Company Ticker,Date,Date Type,Time,Type,Period,Domestic Call Num,Domestic Call Pin,Domestic Replay Num,Domestic Replay Pin,International Call Num,International Call Pin,International Replay Num,International Replay Pin,Actual,Actual Source,Estimate,Surprise,Guidance,Event Description,WebUrl,WebUrl Pin,Presentation,Presentation Pin,Press Release Url,Press Release Pin,City,State,Country
United Rentals Inc,URI US,7/16/2015,E,,ER,Q2 2015,,,,,,,,,,,1.849,,,Q2 2015 Earnings Release,,,,,,,,,
Philip Morris International Inc,PM US,7/16/2015,C,,ER,Q2 2015,,,,,,,,,,,1.125,,,Q2 2015 Earnings Release,http://investors.philipmorrisinternational.com/phoenix.zhtml?c=146476&p=irol-eventDetails&EventId=5182269,,,,,,,,
Kinder Morgan Inc/DE,KMI US,7/16/2015,E,,ER,Q2 2015,,,,,,,,,,,0.19,,,Q2 2015 Earnings Release,,,,,,,,,
Navient Corp,NAVI US,7/16/2015,E,,ER,Q2 2015,,,,,,,,,,,0.556,,,Q2 2015 Earnings Release,,,,,,,,,
Honeywell International Inc,HON US,7/17/2015,C,Bef-mkt,ER,Q2 2015,(888) 298-3451,HON2Q15,(888) 203-1112,8213026,(719) 457-2605,HON2Q15,(719) 457-0820,8213026,,,1.491,,1.485,Q2 2015 Earnings Release,http://investor.honeywell.com/phoenix.zhtml?c=94774&p=irol-EventDetails&EventId=5195912,,,,,,,,
Comerica Inc,CMA US,7/17/2015,C,Bef-mkt,ER,Q2 2015,(877) 523-5249,61399381,,,(210) 591-1147,61399381,,,,,0.748,,,Q2 2015 Earnings Release,http://investor.comerica.com/phoenix.zhtml?c=114699&p=irol-irhome,,,,,,,,
Kansas City Southern,KSU US,7/17/2015,C,Bef-mkt,ER,Q2 2015,(877) 407-0782,,(877) 660-6853,13612740,(201) 689-8567,,(201) 612-7415,13612740,,,1.074,,,Q2 2015 Earnings Release,http://www.investorcalendar.com/event/174095,,,,,,,,
SunTrust Banks Inc,STI US,7/17/2015,C,Bef-mkt,ER,Q2 2015,888-972-7805,2Q15,866-513-4385,,517-308-9091,2Q15,203-369-1984,,,,0.81,,,Q2 2015 Earnings Release,http://investors.suntrust.com/events-and-presentations/default.aspx,,,,,,,,
WW Grainger Inc,GWW US,7/17/2015,C,7:30,ER,Q2 2015,,,,,,,,,,,3.084,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=76754&p=irol-EventDetails&EventId=5178615,,,,,,,,
General Electric Co,GE US,7/17/2015,C,,ER,Q2 2015,,,,,,,,,,,0.342,,,Q2 2015 Earnings Release,http://www.ge.com/investor-relations/events,,,,,,,,
Johnson Controls Inc,JCI US,7/17/2015,E,,ER,Q3 2015,,,,,,,,,,,0.911,,0.91,Q3 2015 Earnings Release,,,,,,,,,
Progressive Corp/The,PGR US,7/17/2015,C,,ER,Q2 2015,,,,,,,,,,,0.551,,,Q2 2015 Earnings Release,,,,,,,,,
Snap-on Inc,SNA US,7/17/2015,E,,ER,Q2 2015,,,,,,,,,,,1.994,,,Q2 2015 Earnings Release,,,,,,,,,
VF Corp,VFC US,7/17/2015,E,,ER,Q2 2015,,,,,,,,,,,0.361,,,Q2 2015 Earnings Release,,,,,,,,,
Skyworks Solutions Inc,SWKS US,7/17/2015,E,,ER,Q3 2015,,,,,,,,,,,1.284,,1.28,Q3 2015 Earnings Release,,,,,,,,,
M&T Bank Corp,MTB US,7/17/2015,E,,ER,Q2 2015,,,,,,,,,,,1.979,,,Q2 2015 Earnings Release,,,,,,,,,
JB Hunt Transport Services Inc,JBHT US,7/17/2015,C,,ER,Q2 2015,,,,,,,,,,,0.905,,,Q2 2015 Earnings Release,,,,,,,,,
Google Inc,GOOGL US,7/17/2015,E,,ER,Q2 2015,,,,,,,,,,,6.731,,,Q2 2015 Earnings Release,,,,,,,,,
Seagate Technology PLC,STX US,7/17/2015,E,,ER,Q4 2015,,,,,,,,,,,0.986,,,Q4 2015 Earnings Release,,,,,,,,,
Hasbro Inc,HAS US,7/20/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.283,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/i6bsrrpx,,,,,,,,
Morgan Stanley,MS US,7/20/2015,C,7:00,ER,Q2 2015,877-895-9527,65308559,855-859-2056,65316756,706-679-2291,65308559,404-537-3406,65316756,,,0.734,,,Q2 2015 Earnings Release,http://www.morganstanley.com/about-us-ir/index.html,,,,,,,,
International Business Machines Corp,IBM US,7/20/2015,C,16:30,ER,Q2 2015,,,,,,,,,,,3.788,,,Q2 2015 Earnings Release,,,,,,,,,
Zions Bancorporation,ZION US,7/20/2015,C,Aft-mkt,ER,Q2 2015,(253) 237-1247,71960337,,,(253) 237-1247,71960337,,,,,0.38,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/meq7j23e,,,,,,,,
Air Products & Chemicals Inc,APD US,7/20/2015,C,,ER,Q3 2015,,,,,,,,,,,1.587,,1.575,Q3 2015 Earnings Release,,,,,,,,,
Genuine Parts Co,GPC US,7/20/2015,C,,ER,Q2 2015,844-857-1770,77046416,855-859-2056,77046416,,,,,,,1.329,,,Q2 2015 Earnings Release,http://genuineparts.investorroom.com/,,,,,,,,
Halliburton Co,HAL US,7/20/2015,C,,ER,Q2 2015,(866) 804-3547,,(888) 266-2081,1656899,(703) 639-1328,,(703) 925-2533,1656899,,,0.306,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/igrqkezs/lan/en,,,,,,,,
Baker Hughes Inc,BHI US,7/21/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,-0.102,,,Q2 2015 Earnings Release,,,,,,,,,
Harley-Davidson Inc,HOG US,7/21/2015,C,Bef-mkt,ER,Q2 2015,(866) 510-9211,71105885,(855) 859-2056,71105885,(404) 665-9457,71105885,(404) 537-3406,71105885,,,1.416,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/75yywe6n/lan/en,,,,,,,,
Bank of New York Mellon Corp/The,BK US,7/21/2015,C,6:30,ER,Q2 2015,888 677 5383,Earnings,800 391 9847,,773 799 3611,Earnings,402 220 3093,,,,0.659,,,Q2 2015 Earnings Release,https://www.bnymellon.com/us/en/investor-relations/index.jsp,,,,,,,,
Fifth Third Bancorp,FITB US,7/21/2015,C,6:30,ER,Q2 2015,(888) 291-9522,57890508,(800) 585-8367,57890508#,(706) 758-3852,57890508,(404) 537-3406,57890508#,,,0.38,,,Q2 2015 Earnings Release,http://www.media-server.com/m/acs/f8b92859ec52ee85e55cdae5f3a958de,,,,,,,,
Dover Corp,DOV US,7/21/2015,C,7:00,ER,Q2 2015,866-882-5865,67983014,800-585-8367,67983014,678-894-3017,67983014,404-537-3406,67983014,,,1.079,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/3h7zzpb5/lan/en,,,,,,,,
Verizon Communications Inc,VZ US,7/21/2015,C,7:30,ER,Q2 2015,(888) 455-3018,VERIZON,(888) 300-0067,,(773) 799-3816,VERIZON,(402) 998-1237,,,,1.005,,,Q2 2015 Earnings Release,http://www.verizon.com/about/investors/investor-webcasts,,,,,,,,
Chipotle Mexican Grill Inc,CMG US,7/21/2015,C,16:00,ER,Q2 2015,888-378-4413,,877-870-5176,3789022,719-325-2444,,858-384-5517,3789022,,,4.459,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/sw5se82h/lan/en,,,,,,,,
ACE Ltd,ACE US,7/21/2015,C,16:05,ER,Q2 2015,800 967 7188,1713107,888 203 1112,1713107,719 325 2322,1713107,719 457 0820,1713107,,,2.291,,,Q2 2015 Earnings Release,http://investors.acegroup.com/investor-information/calendar-of-events/events/event-details/2015/2Q-2015-ACE-Limited-Conference-Call/default.aspx,,,,,,,,
Apple Inc,AAPL US,7/21/2015,C,Aft-mkt,ER,Q3 2015,(877) 419-6600,,(888) 203-1112,9957771,(719) 325-4800,,(719) 457-0820,9957771,,,1.778,,,Q3 2015 Earnings Release,http://events.apple.com.edgesuite.net/15piuhasdfvlhbvlhbasvhb07/event/index.html,,,,,,,,
Microsoft Corp,MSFT US,7/21/2015,C,Aft-mkt,ER,Q4 2015,(877) 407-0666,,(877) 660-6853,13611654,201-689-8023,,201-612-7415,13611654,,,0.587,,,Q4 2015 Earnings Release,http://www.media-server.com/m/p/c44pitii,,,,,,,,
Linear Technology Corp,LLTC US,7/21/2015,C,Aft-mkt,ER,Q4 2015,888-500-6973,,(888) 203-1112,5827668,719-457-2734,,(719) 457-0820,5827668,,,0.562,,,Q4 2015 Earnings Release,http://www.linear.com/company/investor/conference_calls.php,,,,,,,,
FMC Technologies Inc,FTI US,7/21/2015,C,Aft-mkt,ER,Q2 2015,888-771-4371,38432109,888-843-7419,38432109#,847-585-4405,38432109,630-652-3042,38432109#,,,0.615,,,Q2 2015 Earnings Release,http://ir.fmctechnologies.com/,,,,,,,,
Travelers Cos Inc/The,TRV US,7/21/2015,C,,ER,Q2 2015,800-272-6255,14788,800-633-8284,21770122,303-223-2680,14788,402-977-9140,21770122,,,2.102,,,Q2 2015 Earnings Release,http://78449.choruscall.com/dataconf/productusers/travelers/mediaframe/12001/indexr.html,,,,,,,,
Lockheed Martin Corp,LMT US,7/21/2015,C,,ER,Q2 2015,877-844-6881,,855-859-2056,62402264,678-894-3015,,404-537-3406,62402264,,,2.661,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/oyd397xs/lan/en,,,,,,,,
Prologis Inc,PLD US,7/21/2015,C,,ER,Q2 2015,(877) 256-7020,48765490,(855) 859-2056,48765486,(973) 409-9692,48765490,(404) 537-3406,48765486,,,0.515,,,Q2 2015 Earnings Release,http://ir.prologis.com/events-and-presentations/events/2015,,,,,,,,
Intuitive Surgical Inc,ISRG US,7/21/2015,C,,ER,Q2 2015,,,,,,,,,,,4.001,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/dxed3nsx/lan/en,,,,,,,,
Regions Financial Corp,RF US,7/21/2015,C,,ER,Q2 2015,,,855-859-2056,65903001,,,,,,,0.2,,,Q2 2015 Earnings Release,http://ir.regions.com/events.cfm,,,,,,,,
Abbott Laboratories,ABT US,7/22/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.503,,0.5,Q2 2015 Earnings Release,http://www.abbottinvestor.com/phoenix.zhtml?c=94004&p=irol-EventDetails&EventId=5197034,,,,,,,,
Boeing Co/The,BA US,7/22/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,2.067,,,Q2 2015 Earnings Release,https://event.on24.com/eventRegistration/EventLobbyServlet?target=registration.jsp&eventid=1016678&sessionid=1&key=51F235CD27643C1DD1EFD8FCE53F1963&sourcepage=register,,,,,,,,
Coca-Cola Co/The,KO US,7/22/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.599,,,Q2 2015 Earnings Release,http://www.coca-colacompany.com/investors/,,,,,,,,
Thermo Fisher Scientific Inc,TMO US,7/22/2015,C,Bef-mkt,ER,Q2 2015,(877) 201-0168,,,,(647) 788-4901,,,,,,1.78,,,Q2 2015 Earnings Release,https://event.on24.com/eventRegistration/EventLobbyServlet?target=registration.jsp&eventid=835008&sessionid=1&key=1A3EE26B95077BF50168A1D775C16694&sourcepage=register,,,,,,,,
Northern Trust Corp,NTRS US,7/22/2015,C,Bef-mkt,ER,Q2 2015,877-874-1570,2201761,888-203-1112,2201761,719-325-4819,2201761,719-457-0820,2201761,,,0.962,,,Q2 2015 Earnings Release,https://www.northerntrust.com/about-us/investor-relations/earnings-releases,,,,,,,,
St Jude Medical Inc,STJ US,7/22/2015,C,7:15,ER,Q2 2015,866-393-8590,64090353,(855) 859-2056,64090353,,,,,,,0.999,,1,Q2 2015 Earnings Release,http://investors.sjm.com/investors/events-and-presentations/default.aspx,,,,,,,,
Illinois Tool Works Inc,ITW US,7/22/2015,C,8:00,ER,Q2 2015,888-603-9219,ITW,888-296-6943,,,,,,,,1.286,,1.26,Q2 2015 Earnings Release,http://www.media-server.com/m/acs/df47f62b037fd4ccf2ef65fe03cc697c,,,,,,,,
F5 Networks Inc,FFIV US,7/22/2015,C,16:00,ER,Q3 2015,(888) 566-7715,F5 Networks,800-879-6771,,(517) 623-4984,F5 Networks,402-220-5335,,,,1.596,,1.585,Q3 2015 Earnings Release,http://edge.media-server.com/m/p/rkdxx8t9/lan/en,,,,,,,,
American Express Co,AXP US,7/22/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,1.321,,,Q2 2015 Earnings Release,http://ir.americanexpress.com/Investor-Relations,,,,,,,,
Newmont Mining Corp,NEM US,7/22/2015,C,Aft-mkt,ER,Q2 2015,800.857.6428,Newmont,800.947.5181,2015,517.623.4916,Newmont,203.369.3980,2015,,,0.252,,,Q2 2015 Earnings Release,http://event.on24.com/r.htm?e=1017017&s=1&k=E80326D07CE308149EA7259B6A29ED25,,,,,,,,
Tractor Supply Co,TSCO US,7/22/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,1.109,,,Q2 2015 Earnings Release,,,,,,,,,
SanDisk Corp,SNDK US,7/22/2015,C,Aft-mkt,ER,Q2 2015,719-325-4800,3235993,,,719-325-4800,3235993,,,,,0.338,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/fv75osyj/lan/en,,,,,,,,
Ameriprise Financial Inc,AMP US,7/22/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,2.351,,,Q2 2015 Earnings Release,http://ir.ameriprise.com/corporateprofile.aspx?iid=113901,,,,,,,,
EMC Corp/MA,EMC US,7/22/2015,C,,ER,Q2 2015,,,,,,,,,,,0.413,,,Q2 2015 Earnings Release,,,,,,,,,
TEGNA Inc,TGNA US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,0.516,,,Q2 2015 Earnings Release,,,,,,,,,
Interpublic Group of Cos Inc/The,IPG US,7/22/2015,C,,ER,Q2 2015,(800) 988-9634,8241996,(800) 570-8799,4750,(415) 228-4963,8241996,(203) 369-3294,4750,,,0.273,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/rfk7xg5c/lan/en,,,,,,,,
Omnicom Group Inc,OMC US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,1.221,,,Q2 2015 Earnings Release,,,,,,,,,
Altria Group Inc,MO US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,0.711,,,Q2 2015 Earnings Release,,,,,,,,,
Robert Half International Inc,RHI US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,0.659,,,Q2 2015 Earnings Release,,,,,,,,,
Texas Instruments Inc,TXN US,7/22/2015,T,,ER,Q2 2015,,,,,,,,,,,0.653,,0.65,Q2 2015 Earnings Release,,,,,,,,,
United Technologies Corp,UTX US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,1.732,,,Q2 2015 Earnings Release,,,,,,,,,
Electronic Arts Inc,EA US,7/22/2015,E,,ER,Q1 2016,,,,,,,,,,,0.033,,0,Q1 2016 Earnings Release,,,,,,,,,
QUALCOMM Inc,QCOM US,7/22/2015,C,,ER,Q3 2015,,,,,,,,,,,0.948,,0.925,Q3 2015 Earnings Release,,,,,,,,,
AutoNation Inc,AN US,7/22/2015,C,,ER,Q2 2015,888-769-8515,AutoNation,800-568-3942,75300,,,,,,,1.012,,,Q2 2015 Earnings Release,http://investors.autonation.com/phoenix.zhtml?c=85803&p=irol-irhome,,,,,,,,
Xilinx Inc,XLNX US,7/22/2015,E,,ER,Q1 2016,,,,,,,,,,,0.539,,,Q1 2016 Earnings Release,,,,,,,,,
Waters Corp,WAT US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,1.27,,1.25,Q2 2015 Earnings Release,,,,,,,,,
Amphenol Corp,APH US,7/22/2015,C,,ER,Q2 2015,888-395-9624,Reardon,866-479-2464,7183,517-623-4547,Reardon,203-369-1538,7183,,,0.576,,0.57,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/c37affei,,,,,,,,
Broadcom Corp,BRCM US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,0.752,,,Q2 2015 Earnings Release,,,,,,,,,
Juniper Networks Inc,JNPR US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,0.405,,0.4,Q2 2015 Earnings Release,,,,,,,,,
Discover Financial Services,DFS US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,1.327,,,Q2 2015 Earnings Release,,,,,,,,,
Dow Chemical Co/The,DOW US,7/23/2015,C,Bef-mkt,ER,Q2 2015,719-325-2154,,(719) 457-0820,8237958,719-325-2154,,(719) 457-0820,8237958,,,0.772,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/4b943ccj/lan/en,,,,,,,,
EQT Corp,EQT US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.091,,,Q2 2015 Earnings Release,,,,,,,,,
Kimberly-Clark Corp,KMB US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.358,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/kh57pg84,,,,,,,,
Eli Lilly & Co,LLY US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(612) 332-0107,363537,(800) 475-6701,363537,(612) 332-0107,363537,(320) 365-3844,363537,,,0.732,,,Q2 2015 Earnings Release,http://www.media-server.com/m/p/9aaimh8u,,,,,,,,
McDonald's Corp,MCD US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.235,,,Q2 2015 Earnings Release,http://www.aboutmcdonalds.com/mcd/investors/webcasts_and_podcasts.html,,,,,,,,
PulteGroup Inc,PHM US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(877) 375-9144,73625960,(855) 859-2056,73625960,,,,,,,0.262,,,Q2 2015 Earnings Release,http://www.pultegroupinc.com/investors/events-and-presentations/event-details/2015/Q2-2015-PulteGroup-Inc-Earnings-Conference-Call/default.aspx,,,,,,,,
Ryder System Inc,R US,7/23/2015,C,Bef-mkt,ER,Q2 2015,888-398-5319,Ryder,800-879-5513,,773-681-5795,Ryder,402-220-4734,,,,1.617,,1.605,Q2 2015 Earnings Release,http://investors.ryder.com/,,,,,,,,
Union Pacific Corp,UNP US,7/23/2015,C,Bef-mkt,ER,Q2 2015,877407-8293,,,,201689-8349,,,,,,1.404,,,Q2 2015 Earnings Release,http://78449.choruscall.com/dataconf/productusers/unp/mediaframe/11981/indexr.html,,,,,,,,
Huntington Bancshares Inc/OH,HBAN US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(844) 318-8148,11113310,(855) 859-2056,11113310,,,(404) 537-3406,11113310,,,0.206,,,Q2 2015 Earnings Release,http://www.investquest.com/iq/h/hban/,,,,,,,,
Waste Management Inc,WM US,7/23/2015,C,Bef-mkt,ER,Q2 2015,877-710-6139,64809894,855-859-2056,64809894,706-643-7398,64809894,404-537-3406,64809894,,,0.629,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/nzi9ghp2/lan/en,,,,,,,,
Macerich Co/The,MAC US,7/23/2015,C,Bef-mkt,ER,Q2 2015,888-438-5448,8087018,877-870-5176,8087018,719-457-1035,8087018,858-384-5517,8087018,,,0.93,,,Q2 2015 Earnings Release,http://www.macerich.com/investing/investing.aspx?v=calendar,,,,,,,,
Cameron International Corp,CAM US,7/23/2015,C,Bef-mkt,ER,Q2 2015,201-689-8261,,201-612-7415,13608857,201-689-8261,,201-612-7415,13608857,,,0.762,,,Q2 2015 Earnings Release,http://investors.c-a-m.com/index.php?s=19#past:2015:5,,,,,,,,
Quest Diagnostics Inc,DGX US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.239,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=82068&p=irol-EventDetails&EventId=5195534,,,,,,,,
Alliance Data Systems Corp,ADS US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(888) 603-6873,75492204,(855) 859-2056,75492204,(973) 582-2706,75492204,(404) 537-3406,75492204,,,3.232,,3.2,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/fq2z78ib/lan/en,,,,,,,,
