MRO,Marathon Oil,Energy
MPC,Marathon Petroleum,Energy
MAR,Marriott International,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco Corp,Industrials
MA,MasterCard,Information Technology
MAT,Mattel,Consumer Discretionary
MKC,McCormick & Co,Consumer Staples
MCD,McDonald's Corp,Consumer Discretionary
MHFI,McGraw Hill Financial,Financials
MCK,McKesson Corp,Health Care
MJN,Mead Johnson Nutrition,Consumer Staples
MWV,MeadWestvaco Corp,Materials
MDT,Medtronic,Health Care
MRK,Merck & Co,Health Care
MET,MetLife,Financials
KORS,Michael Kors Holdings,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp,Information Technology
MHK,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Brewing,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MON,Monsanto Co,Materials
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MOS,Mosaic Co,Materials
MSI,Motorola Solutions,Information Technology
MUR,Murphy Oil,Energy
MYL,Mylan,Health Care
NBR,Nabors Industries,Energy
NDAQ,Nasdaq OMX Group,Financials
NOV,Natl Oilwell Varco,Energy
NAVI,Navient Corp,Financials
NTAP,NetApp,Information Technology
NFLX,NetFlix,Consumer Discretionary
NWL,Newell Rubbermaid,Consumer Discretionary
NFX,Newfield Exploration,Energy
NEM,Newmont Mining,Materials
NWSA,News Corporation,Consumer Discretionary
NEE,NextEra Energy,Utilities
NLSN,Nielsen NV,Industrials
NKE,NIKE,Consumer Discretionary
NI,NiSource,Utilities
NE,Noble Corp,Energy
NBL,Noble Energy,Energy
JWN,Nordstrom,Consumer Discretionary
NSC,Norfolk Southern,Industrials
NU,Northeast Utilities,Utilities
NTRS,Northern Trust,Financials
NOC,Northrop Grumman,Industrials
NRG,NRG Energy,Utilities
NUE,Nucor Corp,Materials
NVDA,NVIDIA Corp,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
OMC,Omnicom Group,Consumer Discretionary
OKE,ONEOK,Energy
ORCL,Oracle Corp,Information Technology
OI,Owens-Illinois,Materials
PCAR,PACCAR,Industrials
PLL,Pall Corp,Industrials
PH,Parker-Hannifin,Industrials
PDCO,PattersonCompanies,Health Care
PAYX,Paychex,Information Technology
PNR,Pentair plc,Industrials
PBCT,People's United Financial,Financials
POM,Pepco Holdings,Utilities
PEP,PepsiCo,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PETM,PETsMART,Consumer Discretionary
PFE,Pfizer,Health Care
PCG,PG&E Corp,Utilities
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PBI,Pitney Bowes,Industrials
PCL,Plum Creek Timber,Financials
PNC,PNC Financial Services,Financials
PPG,PPG Indus,Materials
PPL,PPL Corp,Utilities
PX,Praxair,Materials
PCP,Precision Castparts,Industrials
PCLN,Priceline Group (The),Consumer Discretionary
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,"Progressive Corp,Ohio",Financials
PLD,Prologis,Financials
PRU,Prudential Financial,Financials
PSA,Public Storage,Financials
PEG,Public Svc Enterprises,Utilities
PHM,PulteGroup,Consumer Discretionary
PVH,PVH Corp,Consumer Discretionary
QEP,QEP Resources,Energy
QCOM,QUALCOMM,Information Technology
PWR,Quanta Services,Industrials
DGX,Quest Diagnostics,Health Care
RL,Ralph Lauren Corp,Consumer Discretionary
RRC,Range Resources,Energy
RTN,Raytheon Co,Industrials
RHT,Red Hat,Information Technology
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial,Financials
RSG,Republic Services,Industrials
RAI,Reynolds American,Consumer Staples
RHI,Robert Half International,Industrials
ROK,Rockwell Automation,Industrials
COL,Rockwell Collins,Industrials
ROP,Roper Indus,Industrials
ROST,Ross Stores,Consumer Discretionary
R,Ryder System,Industrials
SWY,Safeway,Consumer Staples
CRM,salesforce.com inc,Information Technology
SNDK,SanDisk Corp,Information Technology
SCG,SCANA Corp,Utilities
