CSC,Computer Sciences,Information Technology
CAG,ConAgra Foods,Consumer Staples
COP,ConocoPhillips,Energy
CNX,CONSOL Energy,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
GLW,Corning,Information Technology
COST,Costco Wholesale,Consumer Staples
COV,Covidien Plc,Health Care
CCI,Crown Castle International,Financials
CSX,CSX Corp,Industrials
CMI,Cummins,Industrials
CVS,CVS Health Corp,Consumer Staples
DHI,D.R.Horton,Consumer Discretionary
DHR,Danaher Corp,Industrials
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita HealthCare Partner,Health Care
DE,Deere & Co,Industrials
DLPH,Delphi Automotive Plc,Consumer Discretionary
DAL,Delta Air Lines,Industrials
DNR,Denbury Resources,Energy
XRAY,DENTSPLY International,Health Care
DVN,Devon Energy,Energy
DO,Diamond Offshore Drilling,Energy
DTV,DIRECTV,Consumer Discretionary
DFS,Discover Financial Services,Financials
DISCA,Discovery Communications,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Resources,Utilities
DOV,Dover Corp,Industrials
DOW,Dow Chemical,Materials
DPS,Dr. Pepper Snapple Group,Consumer Staples
DTE,DTE Energy,Utilities
DD,Du Pont (E.I.),Materials
DUK,Duke Energy,Utilities
DNB,Dun & Bradstreet,Industrials
ETFC,E Trade Financial,Financials
EMN,Eastman Chemical,Materials
ETN,Eaton Corp Plc,Industrials
EBAY,eBay,Information Technology
ECL,Ecolab,Materials
EIX,Edison International,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Information Technology
EMC,EMC Corp,Information Technology
EMR,Emerson Electric,Industrials
ESV,ENSCO Plc,Energy
ETR,Entergy Corp,Utilities
EOG,EOG Resources,Energy
EQT,EQT Corp,Energy
EFX,Equifax,Industrials
EQR,Equity Residential,Financials
ESS,Essex Property Trust,Financials
EL,Estee Lauder Co,Consumer Staples
EXC,Exelon Corp,Utilities
EXPE,Expedia,Consumer Discretionary
EXPD,"Expeditors International,Wash",Industrials
ESRX,Express Scripts Holding,Health Care
XOM,Exxon Mobil,Energy
FFIV,F5 Networks,Information Technology
FB,Facebook Cl,Information Technology
FDO,Family Dollar Stores,Consumer Discretionary
FAST,Fastenal Co,Industrials
FDX,FedEx Corp,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FSLR,First Solar,Information Technology
FE,FirstEnergy Corp,Utilities
FISV,Fiserv,Information Technology
FLIR,FLIR Systems,Information Technology
FLS,Flowserve Corp,Industrials
FLR,Fluor Corp,Industrials
FMC,FMC Corp,Materials
FTI,FMC Technologies,Energy
F,Ford Motor,Consumer Discretionary
FOSL,Fossil Group,Consumer Discretionary
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan,Materials
FTR,Frontier Communications,Telecommunication Services
GME,GameStop Corp,Consumer Discretionary
GCI,Gannett Co,Consumer Discretionary
GPS,Gap,Consumer Discretionary
GRMN,Garmin Ltd,Consumer Discretionary
GM,General Motors,Consumer Discretionary
